feature_class	regions	bp
CDS	68295	15182650
exon_noncoding	0	0
intron	26669	6905274
intergenic	153497	40403473

gene_id	gene_name	bp	gene_len	bp_per_kb
gene-PYCJOC_R03605	Znf521	55291	180037	307.11
gene-PYCJOC_R00984	Sox6	51612	224302	230.10
gene-PYCJOC_R03961	Foxp1	47957	160237	299.29
gene-PYCJOC_R08553	Vps13b	46555	361573	128.76
gene-PYCJOC_R02367	Klhl29	45938	319949	143.58
gene-PYCJOC_R09930	Zfhx4	44501	122682	362.73
gene-PYCJOC_R08221	Zfpm2	43177	248776	173.56
gene-PYCJOC_R00620	Znf407	42888	202086	212.23
gene-PYCJOC_R05288	Pappa	39162	174142	224.89
gene-PYCJOC_R00625	Pard3	37592	293833	127.94
gene-PYCJOC_R05821	Gmds	37466	253233	147.95
gene-PYCJOC_R05323	Auts2	37343	168002	222.28
gene-PYCJOC_R06658	Znf423	37306	158879	234.81
gene-PYCJOC_R07011	Arid1b	35385	241893	146.28
gene-PYCJOC_R07429	PYCJOC_R07429	35046	313774	111.69
gene-PYCJOC_R04491	Ptprf	33558	192403	174.42
gene-PYCJOC_R03806	Adgrl2	32370	122743	263.72
gene-PYCJOC_R04237	Creb5	32347	208285	155.30
gene-PYCJOC_R01040	Meis2_0	31102	108600	286.39
gene-PYCJOC_R09693	Adgrl3_0	30534	250718	121.79
gene-PYCJOC_R08323	Hdac9	30456	217488	140.04
gene-PYCJOC_R05738	Lpp	30184	200701	150.39
gene-PYCJOC_R02167	Tenm4_0	29833	207276	143.93
gene-PYCJOC_R00627	Nrp1	27484	106116	259.00
gene-PYCJOC_R12573	Arid5b	27233	98906	275.34
gene-PYCJOC_R12216	Tcf7l2	27191	108703	250.14
gene-PYCJOC_R04509	Rnf220	27169	209970	129.39
gene-PYCJOC_R11191	Nfia	27103	86972	311.63
gene-PYCJOC_R07941	Vti1a	26901	160189	167.93
gene-PYCJOC_R02001	Syn3	26283	164348	159.92
gene-PYCJOC_R02189	Sema3a	25931	162490	159.59
gene-PYCJOC_R03376	Gli2	25925	137442	188.63
gene-PYCJOC_R02891	Trps1	25647	164723	155.70
gene-PYCJOC_R07128	Kcnma1	24999	172629	144.81
gene-PYCJOC_R01153	Pdzrn4	24817	231544	107.18
