metric	value
intervals_in	70370065
elements_out	2947588
bp_in	134568082
bp_out	239658099
length_20_49	1770154
length_50_99	541134
length_100_199	358412
length_200_499	239442
length_500_plus	38446

chrom	elements
chr1	531189
chr2	405941
chr3	321931
chr4	266803
chrZ	200397
chr5	197042
chr7	127261
chr6	116852
chr8	104383
chr9	58299
chr10	55474
chr12	54953
chr11	52368
chr13	48296
chr14	42866
chr20	40722
chr15	39800
chr17	35090
chr18	33658
chr19	33450
chr24	20501
chr21	20276
chr26	18200
chr23	18004
chr28	13102
chr27	11885
chr22	11022
chr25	4560
chrLGE22C19W28_E50C23	3830
chrW	1250
chr8_JH375182_random	910
chr4_JH375171_random	586
chrUn_AADN03027098	571
chrLGE64	570
chrW_JH375232_random	541
chr16	468
chr15_JH375192_random	409
chrUn_JH376268	350
chrUn_JH375554	336
chrUn_AADN03027096	334
