feature_class	regions	bp
CDS	90162	18231781
exon_noncoding	0	0
intron	51153	10862455
intergenic	269960	59321471

gene_id	gene_name	bp	gene_len	bp_per_kb
gene-PYCJOC_R02367	Klhl29	75340	319949	235.48
gene-PYCJOC_R03605	Znf521	66742	180037	370.71
gene-PYCJOC_R00984	Sox6	62970	224302	280.74
gene-PYCJOC_R03961	Foxp1	62472	160237	389.87
gene-PYCJOC_R04491	Ptprf	56517	192403	293.74
gene-PYCJOC_R08553	Vps13b	55925	361573	154.67
gene-PYCJOC_R08221	Zfpm2	54059	248776	217.30
gene-PYCJOC_R00625	Pard3	53695	293833	182.74
gene-PYCJOC_R00620	Znf407	52075	202086	257.69
gene-PYCJOC_R05821	Gmds	51346	253233	202.76
gene-PYCJOC_R09930	Zfhx4	50231	122682	409.44
gene-PYCJOC_R04509	Rnf220	50159	209970	238.89
gene-PYCJOC_R07011	Arid1b	50111	241893	207.16
gene-PYCJOC_R05288	Pappa	50015	174142	287.21
gene-PYCJOC_R06658	Znf423	46922	158879	295.33
gene-PYCJOC_R05323	Auts2	46684	168002	277.88
gene-PYCJOC_R04237	Creb5	45315	208285	217.56
gene-PYCJOC_R07429	PYCJOC_R07429	44453	313774	141.67
gene-PYCJOC_R03806	Adgrl2	41636	122743	339.21
gene-PYCJOC_R05738	Lpp	39670	200701	197.66
gene-PYCJOC_R09693	Adgrl3_0	39072	250718	155.84
gene-PYCJOC_R03376	Gli2	37820	137442	275.17
gene-PYCJOC_R11191	Nfia	37520	86972	431.40
gene-PYCJOC_R07941	Vti1a	37031	160189	231.17
gene-PYCJOC_R02167	Tenm4_0	36915	207276	178.10
gene-PYCJOC_R07329	Megf11	36620	188067	194.72
gene-PYCJOC_R00627	Nrp1	36505	106116	344.01
gene-PYCJOC_R12573	Arid5b	36333	98906	367.35
gene-PYCJOC_R01040	Meis2_0	36245	108600	333.75
gene-PYCJOC_R12216	Tcf7l2	36153	108703	332.59
gene-PYCJOC_R02001	Syn3	35867	164348	218.24
gene-PYCJOC_R08323	Hdac9	35085	217488	161.32
gene-PYCJOC_R04921	Ldb2	35052	207412	169.00
gene-PYCJOC_R10470	Mad1l1	34970	257212	135.96
gene-PYCJOC_R02138	Dlg2	34714	587588	59.08
gene-PYCJOC_R02891	Trps1	34411	164723	208.90
gene-PYCJOC_R13827	Sema5b	32883	128428	256.04
