seq_id	gene	len	gc	gc3	z_gc	z_gc3	codon_dist	kmer_js	n_flags
lcl|VWYP01016623.1_cds_PYCJOC_R11308_7048		393	0.549618	0.587786	0.324996	-0.121065	28.5322	0.770938	2
lcl|VWYP01009442.1_cds_PYCJOC_R03555_3930		549	0.590164	0.579235	0.822621	-0.171224	28.6106	0.742681	2
lcl|VWYP01030967.1_cds_NXR82990.1_13537	Magel2_1	333	0.60961	0.486486	1.06128	-0.715269	37.4162	0.718692	2
lcl|VWYP01039349.1_cds_PYCJOC_R01204_15365		408	0.580882	0.544118	0.708702	-0.377212	27.5584	0.689566	2
lcl|VWYP01019278.1_cds_PYCJOC_R08639_8354		378	0.486772	0.706349	-0.44632	0.574399	27.1631	0.670617	2
lcl|VWYP01010121.1_cds_PYCJOC_R10112_4203		342	0.571848	0.557522	0.597827	-0.298587	27.5632	0.659624	2
lcl|VWYP01014950.1_cds_NXR76581.1_6354	Stat2	330	0.709091	0.745455	2.28222	0.803787	25.5792	0.649728	2
lcl|VWYP01031815.1_cds_PYCJOC_R09778_13877		324	0.641975	0.62037	1.4585	0.0700654	21.5233	0.626063	2
lcl|VWYP01018296.1_cds_PYCJOC_R03188_7915		498	0.554217	0.524096	0.38144	-0.494657	31.2467	0.615519	2
lcl|VWYP01013929.1_cds_PYCJOC_R00947_5949		501	0.568	0.542169	0.5506	-0.388645	25.2793	0.608003	2
lcl|VWYP01025487.1_cds_PYCJOC_R06151_11090		444	0.47973	0.5	-0.532747	-0.635999	28.3809	0.607649	2
lcl|VWYP01029494.1_cds_PYCJOC_R11435_12860		396	0.585859	0.507576	0.769785	-0.59156	21.7852	0.590221	2
lcl|VWYP01026583.1_cds_PYCJOC_R08355_11479		663	0.456193	0.427273	-0.821619	-1.0626	18.8509	0.584142	2
lcl|VWYP01005577.1_cds_NXR72994.1_2359	Enpp	342	0.649123	0.578947	1.54623	-0.172913	23.6413	0.572157	2
lcl|VWYP01021598.1_cds_NXR79288.1_9370	Znf728	831	0.648616	0.595668	1.54001	-0.0748312	21.3679	0.562777	2
